Alimento,Medida Usual,g ou mL,CHO (g),kcal
Sushi de Atum,unidade,30,7,40
Sushi de Salmao,unidade,30,7,38
Temaki de Atum,unidade,100,18,157
Temaki de Salmao,unidade,100,18,190
Sashimi de atum,fatia,10,0,15
Sashimi de salmão,fatia,10,0,15
Shitake frito,01 colher de sopa,10,7,50
Saquê,dose,50,3,11
Missoshiro,porção,300,9,70
Niguiri sushi de atum,unidade,30,10,59
Niguiri sushi de kani,unidade,30,10,51
Niguiri sushi de salmão,unidade,30,10,57
Hossomaki de atum,unidade,110,26,164
Hossomaki de pepino,unidade,110,26,123
Hossomaki de salmão,unidade,110,26,155
Harumaki de carne,unidade,50,8,103
Harumaki filadélfia,unidade,50,8,158
Uramaki califórnia,unidade,20,10,47
Uramaki salmão,unidade,22,10,62
