Alimento,Medida Usual,g ou mL,CHO (g),kcal
Amendoim caramelizado,pacote pequeno,20,14,95
Amendoim cozido,2 colheres de sopa,34,7,108
"Amendoim, grão, cru",2 colheres de sopa,34,5,194
"Amendoim, torrado, salgado",2 colheres de sopa,34,5,194
Baba de moça,colher de sopa cheia,30,27,150
Batata-doce amarela assada (picada),colher de sopa cheia,30,10,43
Batata doce frita,fatia media,65,39,249
Batata-doce cozida,colher sopa cheia,42,10,43
Batata-doce branca cozida (picada),colher de sopa cheia,30,8,38
"Batata-doce, doce de",colher de sopa cheia,40,24,94
Bolo de coco,fatia grande,100,54,317
Canela em pau Kitano®,unidade,2,1,5
Canjica pronta,colher de sopa cheia,25,5,29
Cocada,unidade média,70,37,405
Cocada light Santa Helena®,unidade média,70,37,405
Cocada queimada Brasil Caipira®,unidade,20,11,86
Creme de amendoim,unidade,25,17,108
Creme de milho,colher de sopa cheia,33,5,35
Curau de milho,2/3 xícara de chá,140,33,162
Doce de batata doce,porção pequena,30,22,121
Doce de mamão verde,colher de sopa,40,19,78
Doce de goiaba,colher de sopa cheia,50,21,86
Doce de goiaba em calda Diet House®,colher de sopa,20,6,23
Gengibre em pó,colher de sopa cheia,15,11,52
Maçã do amor,unidade,100,79,314
Macaxeira cozida (mandioca),pedaço grande,100,30,125
Maria mole,porção,44,33,132
Milho verde,unidade grande,100,29,138
Mungunzá,concha,150,29,150
Pamonha,unidade,160,69,413
Pamonha doce,unidade pequena,130,47,335
Pé-de-moleque,unidade média,17,10,88
Pinhão cozido,unidade,10,4,17
Pipoca doce,saco medio,20,20,95
Quentão,1/2 copo,100,34,295
Sopa de milho na mateiga 19g Knorr Quick®,unidade,19,12,77
Vinho quente,01 copo,150,24,98
